,id,url,kind,title,date,origin,content
0,32078278,http://jhsjk.people.cn/article/32078278,会见,习近平接受外国新任驻华大使递交国书,44301,人民网－人民日报,"
 
习近平接受外国新任驻华大使递交国书

来源：人民网－人民日报        ??发布时间：2021-04-15










4月14日，国家主席习近平在北京人民大会堂接受29国新任驻华大使递交国书。这是习近平同他们集体合影。
　　新华社记者 姚大伟摄





过去一年，中国人民同各国人民同舟共济、共抗新冠肺炎疫情，谱写了国际友好合作新篇章。今年是中国共产党成立100周年，也是中国实施“十四五”规划、开启全面建设社会主义现代化国家新征程的第一年。中国将坚定贯彻新发展理念，积极构建新发展格局，让中国发展更好惠及各国人民。今年也是中国恢复联合国合法席位50周年、加入世界贸易组织20周年。中方愿同各国一道，坚定支持多边主义，维护以联合国为核心的国际体系和以国际法为基础的国际秩序，坚定维护多边贸易体制，坚定推进全球治理体系建设，推动构建人类命运共同体。北京冬奥会明年举行。我们有信心在各方积极支持和参与下，克服疫情影响，办成一届简约、安全、精彩的奥运盛会

中国人民历来珍视友谊、爱好和平，愿在平等互利基础上同各国人民深化友谊、增进互信、扩大合作，高质量共建“一带一路”。希望使节们为推动双边关系发展和联合国同中国合作作出积极贡献

新华社北京4月14日电?国家主席习近平14日下午在人民大会堂接受29国新任驻华大使递交国书。

4月的北京，春光明媚。人民大会堂北门外，礼兵整齐分列两侧，号手吹响号角，迎接使节们到来。

使节们沿汉白玉台阶拾级而上，在巨幅壁画《江山如此多娇》前，依次向习近平递呈国书，并转达各国领导人对习近平主席的亲切问候。

他们是：阿富汗驻华大使卡伊姆、希腊驻华大使伊利奥普洛斯、波黑驻华大使布克维奇、马达加斯加驻华大使罗班松、意大利驻华大使方澜意、东帝汶驻华大使桑托斯、密克罗尼西亚联邦驻华大使西瓦斯、苏丹驻华大使加法尔、毛里求斯驻华大使王纯万、尼泊尔驻华大使潘迪、巴基斯坦驻华大使哈克、摩尔多瓦驻华大使贝拉基什、丹麦驻华大使马磊、比利时驻华大使高洋、阿曼驻华大使纳赛尔、冈比亚驻华大使康蒂、塔吉克斯坦驻华大使萨义德佐达、英国驻华大使吴若兰、委内瑞拉驻华大使普拉森西亚、日本驻华大使垂秀夫、南非驻华大使谢胜文、斯里兰卡驻华大使科霍纳、白俄罗斯驻华大使尤里、爱尔兰驻华大使安黛文、以色列驻华大使潘绮瑞、几内亚比绍驻华大使恩巴洛、朝鲜驻华大使李龙男、伊拉克驻华大使赛义德、阿根廷驻华大使牛望道。联合国系统新任驻华协调员常启德递交委任书。

习近平同他们集体合影并发表讲话。

习近平请使节们转达对各国领导人的良好祝愿。习近平指出，过去一年，中国人民同各国人民同舟共济、共抗新冠肺炎疫情，谱写了国际友好合作新篇章。今年是中国共产党成立100周年，也是中国实施“十四五”规划、开启全面建设社会主义现代化国家新征程的第一年。中国将坚定贯彻新发展理念，积极构建新发展格局，让中国发展更好惠及各国人民。今年也是中国恢复联合国合法席位50周年、加入世界贸易组织20周年。中方愿同各国一道，坚定支持多边主义，维护以联合国为核心的国际体系和以国际法为基础的国际秩序，坚定维护多边贸易体制，坚定推进全球治理体系建设，推动构建人类命运共同体。北京冬奥会明年举行。我们有信心在各方积极支持和参与下，克服疫情影响，办成一届简约、安全、精彩的奥运盛会。

习近平强调，中国人民历来珍视友谊、爱好和平，愿在平等互利基础上同各国人民深化友谊、增进互信、扩大合作，高质量共建“一带一路”。希望使节们为推动双边关系发展和联合国同中国合作作出积极贡献。

王毅参加上述活动。

《 人民日报 》（ 2021年04月15日 01 版）


(责编：王潇潇                     )"
1,32034280,http://jhsjk.people.cn/article/32034280,会见,勇攀科技高峰 服务国家发展大局为人类和平利用太空作出新的更大贡献,44250,人民网－人民日报,"
习近平在会见探月工程嫦娥五号任务参研参试人员代表并参观月球样品和探月工程成果展览时强调 
勇攀科技高峰 服务国家发展大局
为人类和平利用太空作出新的更大贡献
李克强栗战书汪洋王沪宁赵乐际韩正出席活动
来源：人民网－人民日报        ??发布时间：2021-02-23










　　2月22日，党和国家领导人习近平、李克强、栗战书、汪洋、王沪宁、赵乐际、韩正等在北京人民大会堂会见探月工程嫦娥五号任务参研参试人员代表并参观月球样品和探月工程成果展览。这是习近平等会见探月工程嫦娥五号任务参研参试人员代表。
　　新华社记者 王 晔摄













　　2月22日，党和国家领导人习近平、李克强、栗战书、汪洋、王沪宁、赵乐际、韩正等在北京人民大会堂会见探月工程嫦娥五号任务参研参试人员代表并参观月球样品和探月工程成果展览。这是习近平等在人民大会堂东大厅参观月球样品和探月工程成果展览。
　　新华社记者 李学仁摄





　　■?要弘扬探月精神，发挥新型举国体制优势，勇攀科技高峰，服务国家发展大局，一步一个脚印开启星际探测新征程，不断推进中国航天事业创新发展，为人类和平利用太空作出新的更大贡献

　　■?嫦娥五号任务的圆满成功，标志着探月工程“绕、落、回”三步走规划圆满收官，是发挥新型举国体制优势攻坚克难取得的又一重大成就，是航天强国建设征程中的重要里程碑，对我国航天事业发展具有十分重要的意义。17年来，参与探月工程研制建设的全体人员大力弘扬追逐梦想、勇于探索、协同攻坚、合作共赢的探月精神，不断攀登新的科技高峰，可喜可贺、令人欣慰。探索浩瀚宇宙是人类的共同梦想，要推动实施好探月工程四期，一步一个脚印开启星际探测新征程。要继续发挥新型举国体制优势，加大自主创新工作力度，统筹谋划，再接再厉，推动中国航天空间科学、空间技术、空间应用创新发展，积极开展国际合作，为增进人类福祉作出新的更大贡献

　　

　　新华社北京2月22日电??中共中央总书记、国家主席、中央军委主席习近平22日上午在北京人民大会堂会见探月工程嫦娥五号任务参研参试人员代表并参观月球样品和探月工程成果展览，充分肯定探月工程特别是嫦娥五号任务取得的成就。他强调，要弘扬探月精神，发挥新型举国体制优势，勇攀科技高峰，服务国家发展大局，一步一个脚印开启星际探测新征程，不断推进中国航天事业创新发展，为人类和平利用太空作出新的更大贡献。

　　中共中央政治局常委李克强、栗战书、汪洋、王沪宁、赵乐际、韩正出席活动。

　　人民大会堂北大厅气氛喜庆热烈。上午10时许，习近平等党和国家领导同志步入会场，向参研参试人员代表挥手致意，全场响起经久不息的掌声。习近平同孙家栋、栾恩杰等亲切交流，并同大家合影留念。

　　随后，习近平等来到人民大会堂东大厅，参观月球样品和探月工程成果展览，听取有关月球样品、工程建设、技术转化、科学成果、国际合作和后续发展等方面的介绍。习近平不时驻足察看，详细询问有关情况。

　　习近平强调，嫦娥五号任务的圆满成功，标志着探月工程“绕、落、回”三步走规划圆满收官，是发挥新型举国体制优势攻坚克难取得的又一重大成就，是航天强国建设征程中的重要里程碑，对我国航天事业发展具有十分重要的意义。17年来，参与探月工程研制建设的全体人员大力弘扬追逐梦想、勇于探索、协同攻坚、合作共赢的探月精神，不断攀登新的科技高峰，可喜可贺、令人欣慰。探索浩瀚宇宙是人类的共同梦想，要推动实施好探月工程四期，一步一个脚印开启星际探测新征程。要继续发挥新型举国体制优势，加大自主创新工作力度，统筹谋划，再接再厉，推动中国航天空间科学、空间技术、空间应用创新发展，积极开展国际合作，为增进人类福祉作出新的更大贡献。

　　丁薛祥、刘鹤、张又侠、陈希、黄坤明、王勇、肖捷出席上述活动。

　　探月工程领导小组成员及联络员，有关部门负责同志，有关省、自治区、直辖市任务保障部门代表等参加会见。

　　实施探月工程是党中央把握我国经济科技发展大势作出的重大战略决策，工程自立项以来圆满完成六次探测任务。嫦娥五号任务作为我国复杂度最高、技术跨度最大的航天系统工程，于2020年12月17日首次实现我国地外天体采样返回，为未来我国开展月球和行星探测奠定了坚实基础。


　　《 人民日报 》（ 2021年02月23日 01 版）


(责编：马昌                        )"
2,32034091,http://jhsjk.people.cn/article/32034091,会见,习近平：勇攀科技高峰 服务国家发展大局 为人类和平利用太空作出新的更大贡献,44249,新华网,"

习近平：勇攀科技高峰 服务国家发展大局 为人类和平利用太空作出新的更大贡献

来源：新华网        ??发布时间：2021-02-22


习近平在会见探月工程嫦娥五号任务参研参试人员代表并参观月球样品和探月工程成果展览时强调 

勇攀科技高峰 服务国家发展大局 为人类和平利用太空作出新的更大贡献 

李克强栗战书汪洋王沪宁赵乐际韩正出席活动

新华社北京2月22日电 中共中央总书记、国家主席、中央军委主席习近平22日上午在北京人民大会堂会见探月工程嫦娥五号任务参研参试人员代表并参观月球样品和探月工程成果展览，充分肯定探月工程特别是嫦娥五号任务取得的成就。他强调，要弘扬探月精神，发挥新型举国体制优势，勇攀科技高峰，服务国家发展大局，一步一个脚印开启星际探测新征程，不断推进中国航天事业创新发展，为人类和平利用太空作出新的更大贡献。

中共中央政治局常委李克强、栗战书、汪洋、王沪宁、赵乐际、韩正出席活动。

人民大会堂北大厅气氛喜庆热烈。上午10时许，习近平等党和国家领导同志步入会场，向参研参试人员代表挥手致意，全场响起经久不息的掌声。习近平同孙家栋、栾恩杰等亲切交流，并同大家合影留念。

随后，习近平等来到人民大会堂东大厅，参观月球样品和探月工程成果展览，听取有关月球样品、工程建设、技术转化、科学成果、国际合作和后续发展等方面的介绍。习近平不时驻足察看，详细询问有关情况。

习近平强调，嫦娥五号任务的圆满成功，标志着探月工程“绕、落、回”三步走规划圆满收官，是发挥新型举国体制优势攻坚克难取得的又一重大成就，是航天强国建设征程中的重要里程碑，对我国航天事业发展具有十分重要的意义。17年来，参与探月工程研制建设的全体人员大力弘扬追逐梦想、勇于探索、协同攻坚、合作共赢的探月精神，不断攀登新的科技高峰，可喜可贺、令人欣慰。探索浩瀚宇宙是人类的共同梦想，要推动实施好探月工程四期，一步一个脚印开启星际探测新征程。要继续发挥新型举国体制优势，加大自主创新工作力度，统筹谋划，再接再厉，推动中国航天空间科学、空间技术、空间应用创新发展，积极开展国际合作，为增进人类福祉作出新的更大贡献。

丁薛祥、刘鹤、张又侠、陈希、黄坤明、王勇、肖捷出席上述活动。

探月工程领导小组成员及联络员，有关部门负责同志，有关省、自治区、直辖市任务保障部门代表等参加会见。

实施探月工程是党中央把握我国经济科技发展大势作出的重大战略决策，工程自立项以来圆满完成六次探测任务。嫦娥五号任务作为我国复杂度最高、技术跨度最大的航天系统工程，于2020年12月17日首次实现我国地外天体采样返回，为未来我国开展月球和行星探测奠定了坚实基础。


(责编：吴楠                        )"
3,31956274,http://jhsjk.people.cn/article/31956274,会见,习近平接见全军思想政治教育工作会议代表,44170,人民网－人民日报,"
 
习近平接见全军思想政治教育工作会议代表

来源：人民网－人民日报        ??发布时间：2020-12-05










12月4日，中共中央总书记、国家主席、中央军委主席习近平在北京亲切接见全军思想政治教育工作会议全体代表。
　　新华社记者 李 刚摄





新华社北京12月4日电??（记者李学勇、李宣良）全军思想政治教育工作会议12月3日至4日在北京召开。中共中央总书记、国家主席、中央军委主席习近平亲切接见全体会议代表，代表党中央和中央军委，对全军思想政治教育工作会议的召开表示热烈祝贺，向大家致以诚挚的问候。

4日下午4时许，习近平来到京西宾馆，在热烈的掌声中亲切接见全体会议代表，并同大家合影留念。

这次全军思想政治教育工作会议，以习近平新时代中国特色社会主义思想为指导，深入贯彻习近平强军思想，学习贯彻习近平关于加强和改进人民军队思想政治教育工作的一系列重要指示和要求，围绕加强党对军队的思想政治领导，着力构建新时代人民军队思想政治教育体系，创新教育理念、内容、方法、力量、工作运行和制度机制，努力开创新时代人民军队思想政治教育新局面，为推进强军事业提供坚强思想政治保证。

许其亮、张又侠、李作成、苗华、张升民参加接见。

张又侠出席会议并讲话，他强调，要深入贯彻习主席重要指示，着眼党从思想上政治上建设军队，牢牢把握构建新时代人民军队思想政治教育体系的政治方向，始终扭住用习近平强军思想铸魂育人这个根本，依靠群众发动群众推动教育模式变革，强化领导干部身教示范的标杆引领，形成整体抓教、合力抓教的大格局，在新的起点上实现我军思想政治教育有一个大的提升。

军委机关各部门分管政治工作领导、全军各大单位政治委员及政治工作部门有关领导等参加会议。

《 人民日报 》（ 2020年12月05日 01 版）


(责编：谢倩                        )"
4,31939124,http://jhsjk.people.cn/article/31939124,会见,习近平会见全国精神文明建设表彰大会代表,44156,人民网－人民日报,"
 
习近平会见全国精神文明建设表彰大会代表
王沪宁参加会见并在表彰大会上讲话
来源：人民网－人民日报        ??发布时间：2020-11-21










11月20日，党和国家领导人习近平、王沪宁等在北京会见全国精神文明建设表彰大会代表。
　　新华社记者 鞠 鹏摄





本报北京11月20日电??全国精神文明建设表彰大会20日在京举行。中共中央总书记、国家主席、中央军委主席习近平亲切会见参加大会的新一届全国文明城市、文明村镇、文明单位、文明家庭、文明校园以及未成年人思想道德建设工作先进代表，向他们表示诚挚问候和热烈祝贺。

中共中央政治局常委、中央文明委主任王沪宁参加会见并在表彰大会上讲话。

上午10时，习近平等来到京西宾馆会议楼前厅，全场响起热烈掌声。习近平等走到代表们中间，同大家亲切交流并合影留念。

王沪宁在表彰大会上讲话。他表示，习近平总书记亲切会见会议代表，充分体现了党中央对社会主义精神文明建设的高度重视，对精神文明建设战线同志们的亲切关怀，对新时代精神文明建设工作的殷切期望。要把学懂弄通做实习近平新时代中国特色社会主义思想作为首要政治任务，不断增强“四个意识”、坚定“四个自信”、做到“两个维护”。要深入开展党的十九届五中全会精神宣传教育，激励干部群众坚定信心、振奋精神，团结一心奋进新征程。要以社会主义核心价值观引领培养时代新人，推动理想信念教育常态化制度化，开展党史、新中国史、改革开放史、社会主义发展史教育，引导青少年树立建设社会主义现代化国家的远大理想。要把以人民为中心的发展思想贯穿精神文明创建全过程，提升群众参与度和满意度，增强创建工作实效，反对形式主义、官僚主义。要加强党的全面领导，形成齐抓共管、协同推进的工作合力。

丁薛祥参加会见，孙春兰参加会见并在会上宣读表彰决定，黄坤明参加会见并主持大会。

大会为受表彰代表颁奖。第六届全国文明城市、文明村镇、文明单位代表，第二届全国文明家庭、文明校园代表，新一届全国未成年人思想道德建设工作先进代表分别在大会上发言。

《 人民日报 》（ 2020年11月21日 01 版）


(责编：扶婧颖                     )"
5,31938900,http://jhsjk.people.cn/article/31938900,会见,习近平会见全国精神文明建设表彰大会代表,44155,新华网,"

习近平会见全国精神文明建设表彰大会代表

来源：新华网        ??发布时间：2020-11-20


习近平会见全国精神文明建设表彰大会代表

王沪宁参加会见并在表彰大会上讲话



11月20日，党和国家领导人习近平、王沪宁等在北京会见全国精神文明建设表彰大会代表。新华社记者 鞠鹏 摄

新华社北京11月20日电 全国精神文明建设表彰大会20日在京举行。中共中央总书记、国家主席、中央军委主席习近平亲切会见参加大会的新一届全国文明城市、文明村镇、文明单位、文明家庭、文明校园以及未成年人思想道德建设工作先进代表，向他们表示诚挚问候和热烈祝贺。

中共中央政治局常委、中央文明委主任王沪宁参加会见并在表彰大会上讲话。



11月20日，党和国家领导人习近平、王沪宁等在北京会见全国精神文明建设表彰大会代表。新华社记者 王晔 摄



11月20日，党和国家领导人习近平、王沪宁等在北京会见全国精神文明建设表彰大会代表。新华社记者 鞠鹏 摄



11月20日，党和国家领导人习近平、王沪宁等在北京会见全国精神文明建设表彰大会代表。新华社记者 鞠鹏 摄

上午10时，习近平等来到京西宾馆会议楼前厅，全场响起热烈掌声。习近平等走到代表们中间，同大家亲切交流并合影留念。

王沪宁在表彰大会上讲话。他表示，习近平总书记亲切会见会议代表，充分体现了党中央对社会主义精神文明建设的高度重视，对精神文明建设战线同志们的亲切关怀，对新时代精神文明建设工作的殷切期望。要把学懂弄通做实习近平新时代中国特色社会主义思想作为首要政治任务，不断增强“四个意识”、坚定“四个自信”、做到“两个维护”。要深入开展党的十九届五中全会精神宣传教育，激励干部群众坚定信心、振奋精神，团结一心奋进新征程。要以社会主义核心价值观引领培养时代新人，推动理想信念教育常态化制度化，开展党史、新中国史、改革开放史、社会主义发展史教育，引导青少年树立建设社会主义现代化国家的远大理想。要把以人民为中心的发展思想贯穿精神文明创建全过程，提升群众参与度和满意度，增强创建工作实效，反对形式主义、官僚主义。要加强党的全面领导，形成齐抓共管、协同推进的工作合力。



11月20日，全国精神文明建设表彰大会在北京举行。中共中央政治局常委、中央文明委主任王沪宁在表彰大会上讲话。新华社记者 刘彬 摄

丁薛祥参加会见，孙春兰参加会见并在会上宣读表彰决定，黄坤明参加会见并主持大会。

大会为受表彰代表颁奖。第六届全国文明城市、文明村镇、文明单位代表，第二届全国文明家庭、文明校园代表，新一届全国未成年人思想道德建设工作先进代表分别在大会上发言。


(责编：吴楠                        )"
6,31922346,http://jhsjk.people.cn/article/31922346,会见,习近平夫妇会见柬埔寨国王西哈莫尼和太后莫尼列,44142,人民网－人民日报,"
 
习近平夫妇会见柬埔寨国王西哈莫尼和太后莫尼列

来源：人民网－人民日报        ??发布时间：2020-11-07










　　11月6日，国家主席习近平和夫人彭丽媛在北京人民大会堂会见柬埔寨国王西哈莫尼和太后莫尼列。
　　新华社记者 李学仁摄





　　新华社北京11月6日电??国家主席习近平和夫人彭丽媛6日在人民大会堂会见柬埔寨国王西哈莫尼和太后莫尼列。

　　习近平强调，我们高度珍视同国王和太后陛下的深厚友谊，感谢你们在新冠肺炎疫情暴发后发来慰问信并慷慨提供捐助。国王陛下刚刚沿着西哈努克太皇和莫尼列太后50年前的足迹访问了延安，这既是传承友好之旅，也是增进友情之旅。莫尼列太后为推动中柬世代友好和各领域交流合作作出了特殊重要贡献。今天，我为太后陛下颁授中华人民共和国“友谊勋章”，既是对太后陛下为中柬关系所作特殊重要贡献的高度赞赏，也是为了弘扬中柬两国人民的深厚情谊。我们要接续努力，推动中柬全面战略合作伙伴关系不断迈上新的台阶。

　　西哈莫尼表示，习近平主席和夫人给予我们隆重礼遇，使我们深切感受到中国人民对柬埔寨人民的深情厚谊。我刚刚专程访问了陕西延安，对中国共产党领导中国人民自强不息、艰苦奋斗取得的伟大成就感到由衷敬佩，也深切体会到习近平主席以人民为中心的思想。我愿同习近平主席一道，继承和发扬两国老一辈领导人缔结的深厚友谊，谱写柬中友好合作的新篇章。衷心祝愿中国在习近平主席领导下取得新的更大发展。

　　莫尼列表示，西哈努克太皇和我是中国人民忠诚的老朋友、好朋友。60多年来，我多次访华，每次都能深切感受到中国发生的日新月异的发展变化。习近平主席授予我中华人民共和国“友谊勋章”，我深受感动。我将继续为深化柬中友好作出努力。

　　王沪宁、丁薛祥、杨洁篪、王毅等参加会见。

　　《 人民日报 》（ 2020年11月07日 01 版）


(责编：任佳晖                     )"
7,31922147,http://jhsjk.people.cn/article/31922147,会见,习近平夫妇会见柬埔寨国王西哈莫尼和太后莫尼列,44141,新华网,"

习近平夫妇会见柬埔寨国王西哈莫尼和太后莫尼列

来源：新华网        ??发布时间：2020-11-06


新华社北京11月6日电 国家主席习近平和夫人彭丽媛6日在人民大会堂会见柬埔寨国王西哈莫尼和太后莫尼列。

习近平强调，我们高度珍视同国王和太后陛下的深厚友谊，感谢你们在新冠肺炎疫情暴发后发来慰问信并慷慨提供捐助。国王陛下刚刚沿着西哈努克太皇和莫尼列太后50年前的足迹访问了延安，这既是传承友好之旅，也是增进友情之旅。莫尼列太后为推动中柬世代友好和各领域交流合作作出了特殊重要贡献。今天，我为太后陛下颁授中华人民共和国“友谊勋章”，既是对太后陛下为中柬关系所作特殊重要贡献的高度赞赏，也是为了弘扬中柬两国人民的深厚情谊。我们要接续努力，推动中柬全面战略合作伙伴关系不断迈上新的台阶。

西哈莫尼表示，习近平主席和夫人给予我们隆重礼遇，使我们深切感受到中国人民对柬埔寨人民的深情厚谊。我刚刚专程访问了陕西延安，对中国共产党领导中国人民自强不息、艰苦奋斗取得的伟大成就感到由衷敬佩，也深切体会到习近平主席以人民为中心的思想。我愿同习近平主席一道，继承和发扬两国老一辈领导人缔结的深厚友谊，谱写柬中友好合作的新篇章。衷心祝愿中国在习近平主席领导下取得新的更大发展。

莫尼列表示，西哈努克太皇和我是中国人民忠诚的老朋友、好朋友。60多年来，我多次访华，每次都能深切感受到中国发生的日新月异的发展变化。习近平主席授予我中华人民共和国“友谊勋章”，我深受感动。我将继续为深化柬中友好作出努力。

王沪宁、丁薛祥、杨洁篪、王毅等参加会见。


(责编：梁秋坪                     )"
8,31899584,http://jhsjk.people.cn/article/31899584,会见,习近平会见全国双拥模范城（县）命名暨双拥模范单位和个人表彰大会代表,44125,人民网－人民日报,"
 
习近平会见全国双拥模范城（县）命名暨双拥模范单位和个人表彰大会代表
李克强参加会见并在表彰大会上讲话 王沪宁参加会见
来源：人民网－人民日报        ??发布时间：2020-10-21










10月20日，党和国家领导人习近平、李克强、王沪宁等在北京会见全国双拥模范城（县）命名暨双拥模范单位和个人表彰大会代表。
　　新华社记者 李学仁摄





本报北京10月20日电??（记者张洋）全国双拥模范城（县）命名暨双拥模范单位和个人表彰大会20日上午在京举行。中共中央总书记、国家主席、中央军委主席习近平亲切会见与会代表，向他们表示诚挚问候，向受到命名表彰的全国双拥模范城（县）、双拥模范单位和个人表示热烈祝贺。

中共中央政治局常委、国务院总理李克强参加会见并在表彰大会上讲话，中共中央政治局常委、中央书记处书记王沪宁参加会见。

上午10时，习近平等来到京西宾馆会议楼前厅，全场响起热烈掌声。习近平等走到代表们中间，同大家亲切交流并合影留念。

李克强在讲话中首先代表党中央、国务院，向受命名的地方和受表彰的单位与个人表示热烈祝贺，向人民解放军指战员、武警官兵、民兵预备役人员、部队职工，向烈军属、伤残军人、转业复员退伍军人和军队离退休干部，向双拥工作战线的同志们致以诚挚问候，向所有关心支持国防和军队建设的社会各界人士表示衷心感谢。

李克强说，党的十八大以来，在以习近平同志为核心的党中央坚强领导下，各地区各有关部门积极支持和服务保障军队建设改革，进一步加大优抚安置保障，军队支援经济社会发展积极有为，在参与重大自然灾害抢险救援和应对突发事件中当先锋，今年面对疫情，人民子弟兵闻令而动、敢打硬仗，广大军民携手同心、共克时艰，取得了抗击疫情斗争重大战略成果，彰显了军政军民团结的强大力量。

李克强指出，各地区各部门要全力支持国防和军队建设，做好交通运输、后勤供给等保障工作，帮助改善边疆海岛驻军官兵执勤和工作生活条件。一如既往为军人和家属排忧解难，使广大官兵不为后路担心、不为后院分心、不为后代忧心。今年稳就业难度更加凸显，要为退役军人提供更加精准及时的就业创业服务和职业技能培训，确保他们就业有去处、创业有扶持、失业有帮扶。拓宽渠道，确保符合条件的随军家属都得到合适安置。落实军人子女就近入学、调动转学、参加中高考优待等政策，让军人及其家属放心安心。同时支持军队发挥优势，积极参与经济社会建设。保障优抚安置等财政支出，继续抓好双拥模范创建活动，健全基层双拥服务体系，努力开创双拥工作新局面。

大会宣读了关于命名411个全国双拥模范城（县），关于表彰全国爱国拥军模范单位和拥政爱民模范单位，关于表彰全国爱国拥军模范和拥政爱民模范的决定（名单见第六版）。大会向受到命名表彰的全国双拥模范城（县）、双拥模范单位和个人代表颁奖。有关军地代表发言。

丁薛祥参加会见，孙春兰参加会见并主持大会，张又侠、陈希、黄坤明、沈跃跃、肖捷、马飚参加会见并出席大会，中央军委委员苗华参加会见并在会上宣读表彰决定。

大会以电视电话会议形式召开，在北京设主会场，在各省、自治区、直辖市和新疆生产建设兵团设分会场。全国双拥模范城（县）、双拥模范单位和个人代表，全国双拥工作领导小组成员，军地有关部门负责同志，各省、自治区、直辖市和新疆生产建设兵团双拥工作领导小组及双拥办主要负责同志等在主会场参加了会议。

《 人民日报 》（ 2020年10月21日 01 版）


(责编：王静                        )"
9,31899141,http://jhsjk.people.cn/article/31899141,会见,习近平会见全国双拥模范城（县）命名暨双拥模范单位和个人表彰大会代表 李克强参加会见并在表彰大会上讲话 王沪宁参加会见,44124,新华网,"

习近平会见全国双拥模范城（县）命名暨双拥模范单位和个人表彰大会代表 李克强参加会见并在表彰大会上讲话 王沪宁参加会见

来源：新华网        ??发布时间：2020-10-20


新华社北京10月20日电 全国双拥模范城（县）命名暨双拥模范单位和个人表彰大会20日上午在京举行。中共中央总书记、国家主席、中央军委主席习近平亲切会见与会代表，向他们表示诚挚问候，向受到命名表彰的全国双拥模范城（县）、双拥模范单位和个人表示热烈祝贺。

中共中央政治局常委、国务院总理李克强参加会见并在表彰大会上讲话，中共中央政治局常委、中央书记处书记王沪宁参加会见。

上午10时，习近平等来到京西宾馆会议楼前厅，全场响起热烈掌声。习近平等走到代表们中间，同大家亲切交流并合影留念。

李克强在讲话中首先代表党中央、国务院，向受命名的地方和受表彰的单位与个人表示热烈祝贺，向人民解放军指战员、武警官兵、民兵预备役人员、部队职工，向烈军属、伤残军人、转业复员退伍军人和军队离退休干部，向双拥工作战线的同志们致以诚挚问候，向所有关心支持国防和军队建设的社会各界人士表示衷心感谢。

李克强说，党的十八大以来，在以习近平同志为核心的党中央坚强领导下，各地区各有关部门积极支持和服务保障军队建设改革，进一步加大优抚安置保障，军队支援经济社会发展积极有为，在参与重大自然灾害抢险救援和应对突发事件中当先锋，今年面对疫情，人民子弟兵闻令而动、敢打硬仗，广大军民携手同心、共克时艰，取得了抗击疫情斗争重大战略成果，彰显了军政军民团结的强大力量。

李克强指出，各地区各部门要全力支持国防和军队建设，做好交通运输、后勤供给等保障工作，帮助改善边疆海岛驻军官兵执勤和工作生活条件。一如既往为军人和家属排忧解难，使广大官兵不为后路担心、不为后院分心、不为后代忧心。今年稳就业难度更加凸显，要为退役军人提供更加精准及时的就业创业服务和职业技能培训，确保他们就业有去处、创业有扶持、失业有帮扶。拓宽渠道，确保符合条件的随军家属都得到合适安置。落实军人子女就近入学、调动转学、参加中高考优待等政策，让军人及其家属放心安心。同时支持军队发挥优势，积极参与经济社会建设。保障优抚安置等财政支出，继续抓好双拥模范创建活动，健全基层双拥服务体系，努力开创双拥工作新局面。

大会宣读了关于命名411个全国双拥模范城（县），关于表彰全国爱国拥军模范单位和拥政爱民模范单位，关于表彰全国爱国拥军模范和拥政爱民模范的决定。大会向受到命名表彰的全国双拥模范城（县）、双拥模范单位和个人代表颁奖。有关军地代表发言。

丁薛祥参加会见，孙春兰参加会见并主持大会，张又侠、陈希、黄坤明、沈跃跃、肖捷、马飚参加会见并出席大会，中央军委委员苗华参加会见并在会上宣读表彰决定。

大会以电视电话会议形式召开，在北京设主会场，在各省、自治区、直辖市和新疆生产建设兵团设分会场。全国双拥模范城（县）、双拥模范单位和个人代表，全国双拥工作领导小组成员，军地有关部门负责同志，各省、自治区、直辖市和新疆生产建设兵团双拥工作领导小组及双拥办主要负责同志等在主会场参加了会议。


(责编：王静                        )"
